granularity,nation,year,month,n_valid_cells,n_baseline_fail,baseline_fail_share,n_excess_computed,sample
month,US,2021,6,1178,229,0.19439728353140917,949,US carriers' airborne time on US-touching international segments
month,US,2021,7,1228,254,0.20684039087947884,974,US carriers' airborne time on US-touching international segments
month,US,2021,8,1203,292,0.2427265170407315,911,US carriers' airborne time on US-touching international segments
month,US,2021,9,1153,274,0.23764093668690373,879,US carriers' airborne time on US-touching international segments
month,US,2021,10,1156,251,0.2171280276816609,905,US carriers' airborne time on US-touching international segments
month,US,2021,11,1240,251,0.20241935483870968,989,US carriers' airborne time on US-touching international segments
month,US,2021,12,1367,275,0.2011704462326262,1092,US carriers' airborne time on US-touching international segments
month,US,2022,1,1395,239,0.17132616487455196,1156,US carriers' airborne time on US-touching international segments
month,US,2022,2,1400,238,0.17,1162,US carriers' airborne time on US-touching international segments
month,US,2022,3,1484,1484,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2022,4,1468,1468,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2022,5,1461,1461,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2022,6,1576,1576,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2022,7,1595,1595,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2022,8,1532,1532,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2022,9,1369,1369,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2022,10,1361,1361,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2022,11,1443,1443,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2022,12,1535,1535,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,1,1539,370,0.24041585445094216,1169,US carriers' airborne time on US-touching international segments
month,US,2023,2,1547,377,0.24369747899159663,1170,US carriers' airborne time on US-touching international segments
month,US,2023,3,1625,1625,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,4,1571,1571,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,5,1566,1566,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,6,1651,1651,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,7,1661,1661,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,8,1576,1576,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,9,1439,1439,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,10,1441,1441,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,11,1495,1495,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2023,12,1601,1601,1.0,0,US carriers' airborne time on US-touching international segments
month,US,2024,1,1602,345,0.2153558052434457,1257,US carriers' airborne time on US-touching international segments
month,US,2024,2,1613,343,0.21264724116553008,1270,US carriers' airborne time on US-touching international segments
month,US,2024,3,1672,315,0.18839712918660287,1357,US carriers' airborne time on US-touching international segments
month,US,2024,4,1658,349,0.21049457177322076,1309,US carriers' airborne time on US-touching international segments
month,US,2024,5,1665,369,0.22162162162162163,1296,US carriers' airborne time on US-touching international segments
month,US,2024,6,1750,333,0.19028571428571428,1417,US carriers' airborne time on US-touching international segments
month,US,2024,7,1746,309,0.17697594501718214,1437,US carriers' airborne time on US-touching international segments
month,US,2024,8,1645,315,0.19148936170212766,1330,US carriers' airborne time on US-touching international segments
month,US,2024,9,1452,254,0.174931129476584,1198,US carriers' airborne time on US-touching international segments
month,US,2024,10,1489,289,0.19408999328408327,1200,US carriers' airborne time on US-touching international segments
month,US,2024,11,1582,317,0.20037926675094817,1265,US carriers' airborne time on US-touching international segments
month,US,2024,12,1645,269,0.1635258358662614,1376,US carriers' airborne time on US-touching international segments
month,US,2025,1,1664,244,0.1466346153846154,1420,US carriers' airborne time on US-touching international segments
month,US,2025,2,1666,254,0.1524609843937575,1412,US carriers' airborne time on US-touching international segments
month,US,2025,3,1728,223,0.12905092592592593,1505,US carriers' airborne time on US-touching international segments
month,US,2025,4,1704,243,0.1426056338028169,1461,US carriers' airborne time on US-touching international segments
month,US,2025,5,1720,265,0.15406976744186046,1455,US carriers' airborne time on US-touching international segments
month,US,2025,6,1799,263,0.1461923290717065,1536,US carriers' airborne time on US-touching international segments
month,US,2025,7,1807,265,0.1466519092418373,1542,US carriers' airborne time on US-touching international segments
month,US,2025,8,1699,263,0.1547969393761036,1436,US carriers' airborne time on US-touching international segments
month,US,2025,9,1508,212,0.14058355437665782,1296,US carriers' airborne time on US-touching international segments
month,US,2025,10,1559,241,0.15458627325208468,1318,US carriers' airborne time on US-touching international segments
month,US,2025,11,1608,221,0.13743781094527363,1387,US carriers' airborne time on US-touching international segments
month,US,2025,12,1712,227,0.13259345794392524,1485,US carriers' airborne time on US-touching international segments
