category,subcategory,n_codes_total,n_codes_matched,match_rate_unweighted,departures_total,departures_matched,match_rate_weighted,share_dep_iata,share_dep_icao,share_dep_name_exact,share_dep_us_by_construction,share_dep_ambiguous_group_inconsistent,share_dep_refused_suffix_collision,share_dep_unmatched,note,share_matched_dep_home0,share_matched_dep_home_lt_001,precision_adjusted_match_rate_home0,precision_adjusted_match_rate_lt001
overall,,770,526,0.6831168831168831,47352549.0,45420635.0,0.959201478256218,0.3601659965549056,0.0009998405788038992,0.014815168661775737,0.5832204724607328,0.0,0.004540558101740204,0.03625796364204174,,,,0.9429333149520631,0.9349731943680581
foreign,,534,290,0.5430711610486891,19735573.0,17803659.0,0.9021100628798566,0.8641643189179256,0.0023989675901480035,0.03554677637178307,0.0,0.0,0.010894388523707926,0.08699554859643548,,0.0432685775435263,0.06444018052693551,0.8630770436713441,0.8439779275727135
us,,236,236,1.0,27616976.0,27616976.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,
by_year,1990,211,151,0.7156398104265402,684302.0,628600.0,0.9186002671335171,0.3615815824007529,0.0022840792515585223,0.009698934096349273,0.5450356713848564,0.0,0.015225733667298942,0.06617399919918399,,,,,
by_year,1991,222,155,0.6981981981981982,702865.0,648255.0,0.9223037140844971,0.35268792726910575,0.0034928471328064424,0.013728098568003813,0.552394841114581,0.0,0.015220561558763062,0.06247572435673991,,,,,
by_year,1992,224,153,0.6830357142857143,785685.0,725084.0,0.9228685796470596,0.33395826571717674,0.003946874383499749,0.010630214398900323,0.5743332251474828,0.0,0.016103145662701972,0.06102827469023846,,,,,
by_year,1993,236,164,0.6949152542372882,821201.0,757040.0,0.9218693109238786,0.3289353032935907,0.0014101297976987363,0.008479044716214423,0.5830448331163747,0.0,0.015870657731785517,0.062260031344335914,,,,,
by_year,1994,236,173,0.7330508474576272,844970.0,778764.0,0.9216469223759424,0.336305430962046,0.001234363350178113,0.009097364403469945,0.5750097636602483,0.0,0.013864397552575831,0.06448868007148183,,,,,
by_year,1995,231,172,0.7445887445887446,913576.0,842857.0,0.9225910050176449,0.343826895627731,0.0008110983651059135,0.009568990428820371,0.5683840205959876,0.0,0.013481089695876424,0.06392790528647863,,,,,
by_year,1996,234,174,0.7435897435897436,943240.0,870677.0,0.9230704804715661,0.3524437046774946,0.00031487214282685213,0.010723675840719224,0.5595882278105254,0.0,0.014105635893303931,0.06282388363512997,,,,,
by_year,1997,233,175,0.7510729613733905,983857.0,907300.0,0.9221868625216876,0.36353047241621494,0.00036285761040476413,0.008900683737575684,0.5493928487574922,0.0,0.01282503453245746,0.06498810294585494,,,,,
by_year,1998,228,175,0.7675438596491229,1082897.0,1002467.0,0.9257270082011493,0.3513824491156592,0.00044140855501492753,0.009363771439019593,0.5645393790914556,0.0,0.014306993185870863,0.05996599861297981,,,,,
by_year,1999,229,179,0.7816593886462883,1116846.0,1039105.0,0.9303923728069939,0.3568226953402707,6.983953024857501e-05,0.010742752357979524,0.5627570855784951,0.0,0.014471108818941912,0.05513651837406411,,,,,
by_year,2000,211,171,0.8104265402843602,1198699.0,1129776.0,0.942501829066346,0.3523478371134038,0.0002794696583545994,0.008670233311281647,0.5812042889833061,0.0,0.012278311736307447,0.04521985919734646,,,,,
by_year,2001,200,167,0.835,1191983.0,1152678.0,0.9670255364380197,0.37257158868876483,0.0002567150706008391,0.007466549439044013,0.58673068323961,0.0,0.009955678898105091,0.02301878466387524,,,,,
by_year,2002,238,207,0.8697478991596639,1184295.0,1155966.0,0.9760794396666371,0.37720162628399173,0.0007227928852186322,0.008132264342921317,0.5900227561545054,0.0,0.002849796714501032,0.021070763618861853,,,,,
by_year,2003,235,206,0.8765957446808511,1313134.0,1284752.0,0.9783860596100626,0.3578149678555273,0.0006016141536202702,0.013478441651804006,0.606491035949111,0.0,0.002008934350949713,0.019605006038987644,,,,,
by_year,2004,243,216,0.8888888888888888,1406089.0,1378801.0,0.9805929781116274,0.3458970235881228,0.0016122734762877742,0.023657819668598503,0.6094258613786183,0.0,0.002085216511899318,0.017321805376473324,,,,,
by_year,2005,242,212,0.8760330578512396,1450717.0,1421842.0,0.9800960490571214,0.3334840633976165,0.0014048225808341668,0.021425267643516963,0.6237818954351538,0.0,0.0017432759111528989,0.018160675031725693,,,,,
by_year,2006,243,211,0.8683127572016461,1480226.0,1447260.0,0.9777290765058849,0.3347056462999569,0.0011890076245113922,0.017705404444996912,0.6241290181364197,0.0,0.0018375572378812426,0.020433366256233845,,,,,
by_year,2007,264,223,0.8446969696969697,1516762.0,1482842.0,0.9776365705364454,0.33662565385999915,0.00039689812904068007,0.01586142057883834,0.6247525979685673,0.0,0.00210448310282035,0.020258946360734248,,,,,
by_year,2008,264,222,0.8409090909090909,1498881.0,1465673.0,0.9778448055582798,0.3432087003571331,0.0005564150856538978,0.01619474794863635,0.6178849421668565,0.0,0.0015438183551596157,0.020611376086560575,,,,,
