year,source_file,raw_header_md5,YEAR,MONTH,UNIQUE_CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_COUNTRY,DEST,DEST_COUNTRY,AIRCRAFT_TYPE,AIRCRAFT_CONFIG,SERVICE_CLASS,DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,DISTANCE,RAMP_TO_RAMP,AIR_TIME,extra_columns
2000,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2000.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2001,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2001.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2002,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2002.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2003,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2003.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2004,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2004.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2005,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2005.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2006,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2006.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2007,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2007.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2008,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2008.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2009,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2009.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2010,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2010.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2011,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2011.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2012,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2012.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2013,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2013.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2014,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2014.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2015,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2015.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2016,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2016.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2017,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2017.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2018,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2018.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2019,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2019.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2020,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2020.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
2021,data/raw/t100/T_T100I_SEGMENT_ALL_CARRIER_2021.csv,0f6f3a7185fbdac6113f4ee4925c068b,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,AIRCRAFT_GROUP;AIRLINE_ID;CARRIER;CARRIER_GROUP;CARRIER_GROUP_NEW;DEST_AIRPORT_ID;DEST_AIRPORT_SEQ_ID;DEST_CITY_MARKET_ID;DEST_CITY_NAME;DEST_COUNTRY_NAME;DEST_WAC;DISTANCE_GROUP;FREIGHT;MAIL;ORIGIN_AIRPORT_ID;ORIGIN_AIRPORT_SEQ_ID;ORIGIN_CITY_MARKET_ID;ORIGIN_CITY_NAME;ORIGIN_COUNTRY_NAME;ORIGIN_WAC;PAYLOAD;QUARTER;REGION;UNIQUE_CARRIER_ENTITY;UNIQUE_CARRIER_NAME
