year,carrier_group,is_us_carrier_group,n_rows,n_dep_gt0,n_air_gt0,n_air_zero,n_air_null,n_ramp_gt0,n_ramp_zero,n_ramp_null,n_depsched_gt0,n_mail_gt0,n_seats_gt0,n_pax_gt0,n_dist_gt0,departures
2006,0,False,28707,28707,0,28707,0,0,28707,0,0,0,24047,24012,28707,556395.0
2006,1,True,6301,6301,6300,1,0,6301,0,0,2515,222,3251,3107,6301,95803.0
2006,2,True,10611,10610,10597,14,0,10611,0,0,4466,577,6972,6573,10611,167827.0
2006,3,True,29046,29046,29046,0,0,29046,0,0,26284,6782,25425,25345,29046,660222.0
2007,0,False,28807,28807,0,28807,0,0,28807,0,0,0,24002,23969,28807,569161.0
2007,1,True,5829,5828,5822,7,0,5829,0,0,2050,62,3575,3361,5829,90134.0
2007,2,True,12303,12303,12301,2,0,12303,0,0,4219,728,6595,5816,12303,161382.0
2007,3,True,30988,30988,30988,0,0,30988,0,0,28196,6856,27303,27173,30988,696085.0
2008,0,False,27956,27956,0,27956,0,0,27956,0,0,0,23711,23599,27956,572745.0
2008,1,True,5127,5125,5123,4,0,5125,2,0,2016,55,3878,3623,5127,84673.0
2008,2,True,9044,9044,9044,0,0,9044,0,0,3922,704,5292,4694,9044,137801.0
2008,3,True,32399,32394,32394,5,0,32394,5,0,28766,7152,27720,27629,32399,703662.0
2009,0,False,27009,27009,0,27009,0,0,27009,0,0,0,23139,23101,27009,538574.0
2009,1,True,3621,3621,3621,0,0,3621,0,0,1206,63,2455,2229,3621,54257.0
2009,2,True,8525,8521,8521,4,0,8521,4,0,3909,664,5058,4585,8525,140998.0
2009,3,True,31024,30980,30979,45,0,30980,44,0,27677,7649,26504,26412,31024,667717.0
2010,0,False,28667,28667,0,28667,0,0,28667,0,0,0,24343,24276,28667,558518.0
2010,1,True,5592,5592,5592,0,0,5592,0,0,1098,70,2692,2426,5592,48109.0
2010,2,True,9058,9057,9057,1,0,9057,1,0,5688,934,6643,6239,9058,200807.0
2010,3,True,30839,30832,30832,7,0,30832,7,0,27189,8144,26196,26138,30839,644598.0
2011,0,False,29170,29170,0,29170,0,0,29170,0,0,0,24732,24559,29170,568839.0
2011,1,True,5261,5261,5259,2,0,5261,0,0,1171,68,2881,2656,5261,48943.0
2011,2,True,10292,10292,10227,65,0,10292,0,0,6042,524,7019,6612,10292,203433.0
2011,3,True,30961,30961,30961,0,0,30961,0,0,27731,8562,26808,26719,30961,654763.0
2012,0,False,29167,29167,0,29167,0,0,29167,0,0,0,24918,24745,29167,589284.0
2012,1,True,4837,4824,4815,22,0,4824,13,0,1098,61,2742,2591,4837,43715.0
2012,2,True,9840,9835,9743,97,0,9835,5,0,5830,273,6823,6395,9840,217858.0
2012,3,True,30906,30884,30884,22,0,30884,22,0,27231,8261,26613,26510,30906,658235.0
2013,0,False,29504,29504,0,29504,0,0,29504,0,0,0,25308,25164,29504,613749.0
2013,1,True,4034,4025,4025,9,0,4025,9,0,732,59,2437,2327,4034,43787.0
2013,2,True,5853,5848,5765,88,0,5848,5,0,2977,122,3255,2930,5853,102927.0
2013,3,True,35481,35235,35235,246,0,35235,246,0,31015,8272,30830,30634,35481,773944.0
2014,0,False,29632,29632,0,29632,0,0,29632,0,0,0,25315,25157,29632,639565.0
2014,1,True,5043,5039,5020,23,0,5039,4,0,1451,52,3317,3065,5043,51703.0
2014,2,True,5838,5825,5825,13,0,5825,13,0,3088,149,3410,3124,5838,100479.0
2014,3,True,38203,37387,37387,816,0,37387,816,0,33027,8407,32865,32645,38203,789350.0
2015,0,False,32622,32622,0,32622,0,0,32622,0,0,0,27973,27795,32622,689056.0
2015,1,True,5276,5270,5259,17,0,5270,6,0,1350,76,3620,3166,5276,55782.0
2015,2,True,6310,6307,6307,3,0,6307,3,0,3784,295,3730,3465,6310,109825.0
2015,3,True,39854,38651,38651,1203,0,38651,1203,0,34685,8401,34127,33973,39854,768490.0
2016,0,False,35857,35857,0,35857,0,0,35857,0,0,0,31017,30800,35857,743732.0
2016,1,True,6288,6284,6284,4,0,6284,4,0,1451,69,4598,3756,6288,63945.0
2016,2,True,6439,6433,6435,4,0,6435,4,0,4597,321,3775,3589,6439,116300.0
2016,3,True,39616,38973,38973,643,0,38973,643,0,35241,7792,34552,34285,39616,755281.0
2017,0,False,39039,39039,0,39039,0,0,39039,0,0,0,34004,33787,39039,789665.0
2017,1,True,6746,6732,6698,48,0,6732,14,0,1422,109,4984,4145,6746,56567.0
2017,2,True,6354,6346,6354,0,0,6354,0,0,4452,290,3448,3277,6354,103689.0
2017,3,True,38632,38521,38520,112,0,38521,111,0,35216,7528,33941,33661,38632,776458.0
2018,0,False,42709,42709,0,42709,0,0,42709,0,0,0,37425,37154,42709,831517.0
2018,1,True,7000,6999,6999,1,0,6999,1,0,1464,74,5257,4280,7000,66575.0
2018,2,True,6015,6009,6015,0,0,6015,0,0,3792,374,3233,3069,6015,104537.0
2018,3,True,38176,38160,38158,18,0,38160,16,0,34824,7630,33444,33226,38176,781596.0
2019,0,False,41958,41958,0,41958,0,0,41958,0,0,0,37278,37073,41958,849483.0
2019,1,True,4826,4820,4820,6,0,4820,6,0,1368,71,3930,3226,4826,61280.0
